top=0, pc=1, pp=0, fp=0, [9] // conzt
top=1, pc=2, pp=0, fp=0, [9, 3] // conzt
top=2, pc=3, pp=0, fp=0, [9, 3, 9] // load
top=1, pc=4, pp=0, fp=0, [9, 3, (9)] // ifzero
top=2, pc=5, pp=0, fp=0, [9, 3, 3] // load
top=1, pc=6, pp=0, fp=0, [9, 3, (3)] // ifzero
top=2, pc=7, pp=0, fp=0, [9, 3, 9] // load
top=3, pc=8, pp=0, fp=0, [9, 3, 9, 3] // load
top=2, pc=9, pp=0, fp=0, [9, 3, 1, (3)] // gt
top=1, pc=10, pp=0, fp=0, [9, 3, (1), (3)] // ifzero
top=2, pc=11, pp=0, fp=0, [9, 3, 9, (3)] // load
top=3, pc=12, pp=0, fp=0, [9, 3, 9, 3] // load
top=2, pc=13, pp=0, fp=0, [9, 3, 6, (3)] // sub
top=1, pc=14, pp=0, fp=0, [6, 3, (6), (3)] // store
top=1, pc=2, pp=0, fp=0, [6, 3, (6), (3)] // gotou
top=2, pc=3, pp=0, fp=0, [6, 3, 6, (3)] // load
top=1, pc=4, pp=0, fp=0, [6, 3, (6), (3)] // ifzero
top=2, pc=5, pp=0, fp=0, [6, 3, 3, (3)] // load
top=1, pc=6, pp=0, fp=0, [6, 3, (3), (3)] // ifzero
top=2, pc=7, pp=0, fp=0, [6, 3, 6, (3)] // load
top=3, pc=8, pp=0, fp=0, [6, 3, 6, 3] // load
top=2, pc=9, pp=0, fp=0, [6, 3, 1, (3)] // gt
top=1, pc=10, pp=0, fp=0, [6, 3, (1), (3)] // ifzero
top=2, pc=11, pp=0, fp=0, [6, 3, 6, (3)] // load
top=3, pc=12, pp=0, fp=0, [6, 3, 6, 3] // load
top=2, pc=13, pp=0, fp=0, [6, 3, 3, (3)] // sub
top=1, pc=14, pp=0, fp=0, [3, 3, (3), (3)] // store
top=1, pc=2, pp=0, fp=0, [3, 3, (3), (3)] // gotou
top=2, pc=3, pp=0, fp=0, [3, 3, 3, (3)] // load
top=1, pc=4, pp=0, fp=0, [3, 3, (3), (3)] // ifzero
top=2, pc=5, pp=0, fp=0, [3, 3, 3, (3)] // load
top=1, pc=6, pp=0, fp=0, [3, 3, (3), (3)] // ifzero
top=2, pc=7, pp=0, fp=0, [3, 3, 3, (3)] // load
top=3, pc=8, pp=0, fp=0, [3, 3, 3, 3] // load
top=2, pc=9, pp=0, fp=0, [3, 3, 0, (3)] // gt
top=1, pc=15, pp=0, fp=0, [3, 3, (0), (3)] // ifzero
top=2, pc=16, pp=0, fp=0, [3, 3, 3, (3)] // load
top=3, pc=17, pp=0, fp=0, [3, 3, 3, 3] // load
top=2, pc=18, pp=0, fp=0, [3, 3, 0, (3)] // sub
top=1, pc=19, pp=0, fp=0, [3, 0, (0), (3)] // store
top=1, pc=2, pp=0, fp=0, [3, 0, (0), (3)] // gotou
top=2, pc=3, pp=0, fp=0, [3, 0, 3, (3)] // load
top=1, pc=4, pp=0, fp=0, [3, 0, (3), (3)] // ifzero
top=2, pc=5, pp=0, fp=0, [3, 0, 0, (3)] // load
top=1, pc=20, pp=0, fp=0, [3, 0, (0), (3)] // ifzero
top=2, pc=21, pp=0, fp=0, [3, 0, 3, (3)] // load
top=2, pc=-1, pp=0, fp=0, [3, 0, 3, (3)] // halt
